user_id,signup_date,plan,region,acquisition_channel,segment,seats,mrr,active_days_90,support_tickets,csat,churned
U100000,2024-07-21,Enterprise,APAC,Paid,SMB,263,12887,37.0,0,,0
U100001,2025-03-25,Free,NA,Organic,SMB,1,0,11.0,0,,0
U100002,2024-06-06,Free,EMEA,Referral,SMB,1,0,0.0,0,,0
U100003,2025-06-05,Business,NA,Organic,Mid-Market,9,261,22.0,0,,0
U100004,2024-05-19,Starter,NA,Paid,SMB,3,36,19.0,0,,0
U100005,2024-01-25,Free,NA,Organic,Mid-Market,1,0,7.0,0,,0
U100006,2024-02-10,Enterprise,APAC,Organic,SMB,226,11074,20.0,3,3.6,0
U100007,2024-06-24,Starter,EMEA,Referral,SMB,2,24,24.0,1,4.4,0
U100008,2024-01-14,Free,NA,Paid,SMB,1,0,16.0,0,,1
U100009,2024-06-05,Free,LATAM,Referral,Mid-Market,1,0,2.0,1,3.9,0
U100010,2024-02-29,Free,EMEA,Referral,Mid-Market,1,0,10.0,0,,1
U100011,2024-07-01,Enterprise,NA,Paid,Mid-Market,289,14161,25.0,1,3.0,1
U100012,2024-11-25,Starter,NA,Organic,Enterprise,3,36,21.0,0,,0
U100013,2024-07-17,Starter,EMEA,Paid,SMB,7,84,19.0,0,,0
U100014,2024-12-31,Free,EMEA,Organic,Mid-Market,1,0,0.0,2,3.8,0
U100015,2025-03-17,Starter,EMEA,Organic,SMB,7,84,5.0,4,2.8,1
U100016,2024-03-28,Business,EMEA,Organic,SMB,5,145,33.0,1,4.5,0
U100017,2024-05-08,Free,,Paid,Mid-Market,1,0,0.0,0,,0
U100018,2024-07-31,Business,EMEA,Referral,SMB,22,638,14.0,1,3.4,1
U100019,2025-05-22,Enterprise,LATAM,Organic,SMB,290,14210,29.0,4,3.8,0
U100020,2025-05-20,Starter,EMEA,Organic,Mid-Market,7,84,5.0,3,4.5,1
U100021,2025-03-13,Business,LATAM,Paid,SMB,27,783,15.0,3,3.5,1
U100022,2024-09-08,Starter,,Paid,SMB,2,24,14.0,0,,0
U100023,2025-02-19,Free,EMEA,Organic,SMB,1,0,0.0,1,4.3,0
U100024,2024-02-12,Free,LATAM,Referral,Mid-Market,1,0,8.0,0,,0
U100025,2024-05-31,Enterprise,APAC,Paid,Mid-Market,126,6174,14.0,1,4.5,1
U100026,2024-09-13,Free,EMEA,Organic,SMB,1,0,11.0,0,,1
U100027,2024-07-21,Starter,EMEA,Referral,Mid-Market,2,24,14.0,2,3.7,0
U100028,2024-09-04,Starter,LATAM,Organic,Enterprise,7,84,15.0,0,,0
U100029,2025-04-01,Free,APAC,Organic,SMB,1,0,1.0,0,,0
U100030,2024-06-01,Free,APAC,Referral,Enterprise,1,0,9.0,1,4.0,0
